月份 AQI 范围 质量等级 PM2.5 PM10 SO2 CO NO2 O3
2013-12 156 66~481 中度污染 122 202 79 2.942 64 26
2014-01 175 72~352 中度污染 133 229 85 3.037 72 27
2014-02 218 83~432 重度污染 173 241 65 2.507 53 32
2014-03 134 74~250 轻度污染 85 188 37 2.242 50 52
2014-04 101 55~181 轻度污染 64 149 17 1.697 46 66
2014-05 100 58~221 良 55 149 16 1.529 32 81
2014-06 78 53~136 良 46 97 13 1.42 34 110
2014-07 82 27~110 良 36 87 9 1.058 34 135
2014-08 74 33~114 良 44 93 11 1.219 39 108
2014-09 61 18~113 良 39 76 11 1.383 38 65
2014-10 111 44~251 轻度污染 78 152 20 1.51 48 56
2014-11 118 53~239 轻度污染 84 155 37 1.883 48 29
2014-12 104 60~182 轻度污染 67 152 53 2.035 48 26
2015-01 132 61~242 轻度污染 95 188 55 2.897 51 25
2015-02 104 67~200 轻度污染 65 147 38 2.482 38 47
2015-03 93 53~177 良 60 132 26 1.787 40 59
2015-04 78 43~138 良 40 106 17 1.743 36 82
2015-05 78 60~103 良 40 101 17 1.532 36 114
2015-06 70 32~101 良 36 82 11 1.27 32 97
2015-07 95 61~142 良 41 98 9 1.032 36 149
2015-08 90 35~169 良 43 102 10 1.023 43 127
2015-09 70 37~102 良 42 84 13 1.143 42 89
2015-10 104 31~202 轻度污染 63 153 21 1.452 53 56
2015-11 91 38~265 良 59 126 25 2.06 49 24
2015-12 152 63~317 中度污染 111 212 44 2.784 63 30
2016-01 154 63~333 中度污染 113 207 39 3.013 60 36
2016-02 108 52~251 轻度污染 69 146 28 1.817 47 61
2016-03 125 58~192 轻度污染 78 188 27 1.887 63 69
2016-04 96 61~148 良 55 138 17 1.4 58 102
2016-05 87 47~168 良 44 105 13 1.113 47 120
2016-06 101 46~179 轻度污染 32 76 8 1.1 38 157
2016-07 83 35~168 良 27 59 6 0.926 32 136
2016-08 83 36~121 良 36 71 8 0.952 34 136
2016-09 91 47~130 良 53 104 14 1.217 56 112
2016-10 79 39~153 良 53 98 12 1.355 51 55
2016-11 169 44~304 中度污染 124 221 26 2.18 70 29
2016-12 214 71~458 重度污染 173 233 35 2.497 77 31
2017-01 229 63~499 重度污染 186 260 37 2.613 73 45
2017-02 172 57~307 中度污染 131 201 33 2.143 75 71
2017-03 100 48~145 轻度污染 69 120 23 1.5 63 81
2017-04 93 41~298 良 43 95 15 1.327 62 99
2017-05 114 50~500 轻度污染 32 76 13 1.103 55 136
2017-06 110 46~172 轻度污染 33 72 11 1.067 42 165
2017-07 122 37~201 轻度污染 32 72 8 1.152 40 181
2017-08 99 35~202 良 35 70 9 1.161 41 148
2017-09 77 40~123 良 44 90 12 1.31 53 95
2017-10 75 30~116 良 50 91 12 1.465 50 41
2017-11 129 66~292 轻度污染 94 159 22 1.773 74 38
2017-12 172 72~402 中度污染 109 181 32 2.006 80 22
2018-01 183 67~341 中度污染 141 191 28 2.058 76 46
2018-02 112 0~282 轻度污染 81 125 25 1.543 60 82
2018-03 116 0~236 轻度污染 84 143 16 1.503 67 98
2018-04 81 0~197 良 40 112 13 1.137 57 108
2018-05 80 0~163 良 35 95 11 0.968 50 122
2018-06 112 40~171 轻度污染 30 68 9 1.037 39 170
2018-07 79 35~144 良 28 55 7 1.013 29 131
2018-08 109 43~152 轻度污染 33 66 9 1.019 37 168
2018-09 61 33~95 良 21 48 9 0.943 40 85
2018-10 80 50~103 良 43 92 11 1.087 60 73
2018-11 130 45~425 轻度污染 81 159 14 1.373 65 36
2018-12 139 56~461 轻度污染 91 173 20 1.458 63 30
2019-01 178 58~346 中度污染 139 181 17 1.639 70 37
2019-02 151 79~271 中度污染 114 157 11 1.311 44 66
2019-03 84 54~120 良 45 113 8 0.755 58 84
2019-04 82 53~144 良 45 107 7 0.82 46 101
2019-05 107 35~481 轻度污染 42 115 6 0.577 43 117
2019-06 111 42~153 轻度污染 26 60 5 0.55 38 170
