日期 天气状况 气温 风力风向
2014年01月01日 晴/多云 9℃/-1℃ 西风≤3级/西风≤3级
2014年01月02日 多云/多云 8℃/-1℃ 西风≤3级/西风≤3级
2014年01月03日 晴/晴 10℃/-2℃ 西北风≤3级/东北风≤3级
2014年01月04日 晴/晴 12℃/-2℃ 东风≤3级/东风≤3级
2014年01月05日 阴/阴 7℃/-1℃ 东南风≤3级/南风≤3级
2014年01月06日 阴/雨夹雪 5℃/0℃ 无持续风向≤3级/西南风≤3级
2014年01月07日 小雨/多云 5℃/-1℃ 南风≤3级/西北风≤3级
2014年01月08日 多云/晴 6℃/-2℃ 西风≤3级/东风≤3级
2014年01月09日 多云/阴 7℃/-2℃ 东北风≤3级/东北风≤3级
2014年01月10日 阴/阴 4℃/-2℃ 东南风≤3级/南风≤3级
2014年01月11日 霾/多云 6℃/-2℃ 西风≤3级/西风≤3级
2014年01月12日 晴/晴 7℃/-3℃ 西北风≤3级/西北风≤3级
2014年01月13日 晴/晴 8℃/-3℃ 东风≤3级/东风≤3级
2014年01月14日 多云/多云 5℃/-4℃ 西北风≤3级/东南风≤3级
2014年01月15日 阴/阴 4℃/-2℃ 东风≤3级/南风≤3级
2014年01月16日 多云/晴 5℃/-3℃ 北风≤3级/西北风≤3级
2014年01月17日 晴/多云 8℃/-3℃ 西风≤3级/南风≤3级
2014年01月18日 多云/阴 6℃/-2℃ 东南风≤3级/东南风≤3级
2014年01月19日 阴/多云 9℃/-2℃ 东北风≤3级/东风≤3级
2014年01月20日 晴/晴 7℃/-3℃ 东风≤3级/东风≤3级
2014年01月21日 晴/晴 10℃/-4℃ 东风≤3级/西北风≤3级
2014年01月22日 晴/晴 8℃/-2℃ 西北风≤3级/南风≤3级
2014年01月23日 多云/多云 9℃/0℃ 东南风≤3级/西风≤3级
2014年01月24日 多云/多云 10℃/0℃ 西风≤3级/西北风≤3级
2014年01月25日 晴/多云 10℃/-1℃ 西北风3-4级/西北风≤3级
2014年01月26日 多云/多云 9℃/0℃ 西北风≤3级/西风≤3级
2014年01月27日 多云/多云 11℃/-1℃ 西北风≤3级/东风≤3级
2014年01月28日 多云/多云 10℃/1℃ 西风≤3级/东北风≤3级
2014年01月29日 晴/晴 12℃/0℃ 东北风≤3级/西北风≤3级
2014年01月30日 晴/多云 15℃/2℃ 东南风≤3级/西风≤3级
2014年01月31日 多云/霾 13℃/1℃ 东北风≤3级/东北风≤3级
2014年02月01日 霾/多云 14℃/1℃ 东北风≤3级/东北风≤3级
2014年02月02日 晴/多云 14℃/1℃ 西南风≤3级/西南风≤3级
2014年02月03日 多云/多云 12℃/1℃ 东风≤3级/东北风≤3级
2014年02月04日 小雨/小雪 3℃/-1℃ 东北风3-4级/东风≤3级
2014年02月05日 小雪/阴 2℃/-3℃ 东风≤3级/东北风≤3级
2014年02月06日 小雪/小雪 0℃/-4℃ 东北风≤3级/东北风≤3级
2014年02月07日 多云/多云 2℃/-4℃ 东北风≤3级/东风≤3级
2014年02月08日 阴/小雪 2℃/-3℃ 东风≤3级/东风≤3级
2014年02月09日 小雪/阴 2℃/-3℃ 东北风≤3级/东北风≤3级
2014年02月10日 阴/多云 2℃/-4℃ 东北风≤3级/东北风≤3级
2014年02月11日 阴/阴 2℃/-4℃ 东北风≤3级/东北风≤3级
2014年02月12日 小雪/小雪 1℃/-3℃ 东北风≤3级/东风≤3级
2014年02月13日 阴/晴 4℃/-4℃ 东北风≤3级/东北风≤3级
2014年02月14日 多云/多云 5℃/-2℃ 东北风≤3级/东北风≤3级
2014年02月15日 阴/雨夹雪 5℃/-1℃ 东风≤3级/南风≤3级
2014年02月16日 小雪/小到中雪 1℃/-1℃ 南风≤3级/西南风≤3级
2014年02月17日 小到中雪/小雪 2℃/-1℃ 西南风≤3级/东北风≤3级
2014年02月18日 多云/多云 6℃/-2℃ 东北风≤3级/东北风≤3级
2014年02月19日 晴/晴 9℃/-2℃ 东北风≤3级/东北风≤3级
2014年02月20日 晴/多云 9℃/-1℃ 东北风≤3级/东风≤3级
2014年02月21日 阴/阴 9℃/0℃ 东风≤3级/东风≤3级
2014年02月22日 多云/多云 9℃/1℃ 东风≤3级/东风≤3级
2014年02月23日 阴/霾 10℃/2℃ 东风≤3级/东风≤3级
2014年02月24日 阴/阴 11℃/4℃ 东风≤3级/东风≤3级
2014年02月25日 霾/多云 11℃/3℃ 东风≤3级/东风≤3级
2014年02月26日 霾/阴 11℃/4℃ 东风≤3级/东风≤3级
2014年02月27日 阴/小雨 10℃/4℃ 东风≤3级/南风≤3级
2014年02月28日 小雨/阴 7℃/3℃ 东北风≤3级/东风≤3级
2014年03月01日 多云/多云 11℃/2℃ 东风≤3级/东风≤3级
2014年03月02日 阴/阴 11℃/2℃ 东北风≤3级/东风≤3级
